Instance 	 ip_model 	 	 lr_model 	 	 greedy 	 	 UB 	 
 	 objval 	 time 	 objval 	 time 	 objval 	 time 	 objval 	 time 
44 	 383678.00 	 1.64 	 383678.00 	 0.47 	 383678 	 1.54	 428224 	 0.00 	 0.00 	 0.00 
45 	 338009.00 	 3.86 	 338005.00 	 0.43 	 338009 	 1.43	 392061 	 0.00 	 0.00 	 4.00 
46 	 346210.00 	 2.33 	 346209.25 	 0.40 	 346210 	 1.22	 389420 	 0.00 	 0.00 	 0.75 
47 	 368316.00 	 1.93 	 368316.00 	 0.51 	 368316 	 1.25	 420683 	 0.00 	 0.00 	 0.00 
48 	 314494.00 	 2.03 	 314494.00 	 0.43 	 314494 	 1.41	 360000 	 0.00 	 0.00 	 0.00 
49 	 378400.00 	 1.63 	 378400.00 	 0.53 	 378400 	 1.23	 432805 	 0.00 	 0.00 	 0.00 
50 	 335527.00 	 2.06 	 335526.50 	 0.45 	 335527 	 1.40	 384622 	 0.00 	 0.00 	 0.50 
51 	 352084.00 	 3.09 	 352083.67 	 0.56 	 352084 	 1.46	 398824 	 0.00 	 0.00 	 0.33 
52 	 309450.00 	 1.71 	 309450.00 	 0.45 	 309450 	 1.23	 355791 	 0.00 	 0.00 	 0.00 
53 	 326740.00 	 1.69 	 326740.00 	 0.44 	 326740 	 1.46	 378449 	 0.00 	 0.00 	 0.00 
54 	 335209.00 	 1.76 	 335209.00 	 0.51 	 335209 	 1.40	 375324 	 0.00 	 0.00 	 0.00 
55 	 301882.00 	 2.14 	 301882.00 	 0.42 	 301882 	 1.45	 354339 	 0.00 	 0.00 	 0.00 
56 	 355752.00 	 1.69 	 355752.00 	 0.45 	 355752 	 1.38	 400936 	 0.00 	 0.00 	 0.00 
57 	 286640.00 	 1.78 	 286640.00 	 0.46 	 286640 	 1.22	 340059 	 0.00 	 0.00 	 0.00 
58 	 320753.00 	 1.76 	 320753.00 	 0.46 	 320753 	 1.22	 362214 	 0.00 	 0.00 	 0.00 
59 	 350701.00 	 1.84 	 350701.00 	 0.47 	 350701 	 1.22	 396757 	 0.00 	 0.00 	 0.00 
60 	 350483.00 	 4.71 	 350479.67 	 0.52 	 350486 	 1.44	 398659 	 0.00 	 3.00 	 3.33 
61 	 378818.00 	 2.41 	 378817.50 	 0.47 	 378818 	 1.45	 431572 	 0.00 	 0.00 	 0.50 
62 	 363747.00 	 1.57 	 363747.00 	 0.47 	 363747 	 1.52	 405666 	 0.00 	 0.00 	 0.00 
63 	 321112.00 	 1.92 	 321112.00 	 0.44 	 321112 	 1.22	 361096 	 0.00 	 0.00 	 0.00 
64 	 359617.00 	 1.88 	 359617.00 	 0.45 	 359617 	 1.25	 399865 	 0.00 	 0.00 	 0.00 
65 	 349345.00 	 2.22 	 349345.00 	 0.44 	 349345 	 1.42	 394295 	 0.00 	 0.00 	 0.00 
66 	 351200.00 	 1.68 	 351200.00 	 0.45 	 351200 	 1.47	 402425 	 0.00 	 0.00 	 0.00 
67 	 330092.00 	 2.13 	 330092.00 	 0.48 	 330092 	 1.44	 369298 	 0.00 	 0.00 	 0.00 
68 	 372830.00 	 1.59 	 372830.00 	 0.46 	 372830 	 1.43	 417658 	 0.00 	 0.00 	 0.00 
69 	 387366.00 	 3.81 	 387362.00 	 0.52 	 387366 	 1.39	 435615 	 0.00 	 0.00 	 4.00 
70 	 340242.00 	 1.74 	 340242.00 	 0.49 	 340242 	 1.44	 397733 	 0.00 	 0.00 	 0.00 
71 	 332026.00 	 1.59 	 332026.00 	 0.47 	 332026 	 1.45	 381311 	 0.00 	 0.00 	 0.00 
72 	 282311.00 	 1.94 	 282311.00 	 0.38 	 282311 	 1.23	 326532 	 0.00 	 0.00 	 0.00 
73 	 331322.00 	 1.54 	 331322.00 	 0.52 	 331322 	 1.45	 377148 	 0.00 	 0.00 	 0.00 
74 	 358488.00 	 3.21 	 358486.00 	 0.48 	 358488 	 1.44	 400713 	 0.00 	 0.00 	 2.00 
75 	 343986.00 	 1.93 	 343986.00 	 0.44 	 343986 	 1.22	 385314 	 0.00 	 0.00 	 0.00 
76 	 374610.00 	 1.38 	 374610.00 	 0.48 	 374610 	 1.42	 412498 	 0.00 	 0.00 	 0.00 
77 	 345126.00 	 1.95 	 345126.00 	 0.48 	 345126 	 1.25	 397105 	 0.00 	 0.00 	 0.00 
78 	 354725.00 	 2.25 	 354725.00 	 0.45 	 354725 	 1.35	 403266 	 0.00 	 0.00 	 0.00 
79 	 330776.00 	 2.10 	 330776.00 	 0.45 	 330776 	 1.45	 376713 	 0.00 	 0.00 	 0.00 
80 	 335839.00 	 2.02 	 335839.00 	 0.46 	 335839 	 1.21	 373030 	 0.00 	 0.00 	 0.00 
81 	 299914.00 	 2.09 	 299914.00 	 0.47 	 299914 	 1.45	 345071 	 0.00 	 0.00 	 0.00 
82 	 312914.00 	 1.72 	 312914.00 	 0.50 	 312914 	 1.25	 358290 	 0.00 	 0.00 	 0.00 
83 	 321604.00 	 1.73 	 321604.00 	 0.43 	 321604 	 1.23	 381051 	 0.00 	 0.00 	 0.00 
84 	 306108.00 	 1.42 	 306108.00 	 0.47 	 306108 	 1.43	 348150 	 0.00 	 0.00 	 0.00 
85 	 340641.00 	 1.46 	 340641.00 	 0.44 	 340641 	 1.43	 379229 	 0.00 	 0.00 	 0.00 
86 	 367347.00 	 1.74 	 367347.00 	 0.46 	 367347 	 1.23	 407393 	 0.00 	 0.00 	 0.00 
87 	 366778.00 	 3.78 	 366774.33 	 0.46 	 366778 	 1.42	 409844 	 0.00 	 0.00 	 3.67 
88 	 347337.00 	 2.19 	 347337.00 	 0.46 	 347337 	 1.24	 399907 	 0.00 	 0.00 	 0.00 
89 	 354049.00 	 1.16 	 354049.00 	 0.46 	 354060 	 1.22	 392013 	 0.00 	 11.00 	 0.00 
90 	 347841.00 	 2.28 	 347840.25 	 0.44 	 347844 	 2.42	 388310 	 0.00 	 3.00 	 0.75 
91 	 328016.00 	 1.60 	 328016.00 	 0.46 	 328016 	 1.41	 382177 	 0.00 	 0.00 	 0.00 
92 	 341357.00 	 1.95 	 341357.00 	 0.51 	 341357 	 2.02	 384200 	 0.00 	 0.00 	 0.00 
93 	 342143.00 	 1.68 	 342143.00 	 0.46 	 342143 	 1.44	 389878 	 0.00 	 0.00 	 0.00 
94 	 307029.00 	 1.72 	 307029.00 	 0.47 	 307037 	 1.26	 350858 	 0.00 	 8.00 	 0.00 
95 	 348493.00 	 2.88 	 348492.50 	 0.49 	 348493 	 1.42	 409560 	 0.00 	 0.00 	 0.50 
96 	 314550.00 	 1.89 	 314550.00 	 0.46 	 314556 	 1.48	 363688 	 0.00 	 6.00 	 0.00 
97 	 371465.00 	 3.27 	 371464.33 	 0.43 	 371468 	 1.38	 416685 	 0.00 	 3.00 	 0.67 
98 	 351513.00 	 1.95 	 351513.00 	 0.48 	 351513 	 1.46	 409197 	 0.00 	 0.00 	 0.00 
99 	 339527.00 	 2.21 	 339527.00 	 0.44 	 339527 	 1.46	 375263 	 0.00 	 0.00 	 0.00 
100 	 347018.00 	 1.55 	 347018.00 	 0.47 	 347018 	 1.48	 390869 	 0.00 	 0.00 	 0.00 
